,date,tweets,retweets
100,2020-09-06,5,3
101,2020-09-07,5,1
102,2020-09-09,0,2
103,2020-09-10,3,6
104,2020-09-11,3,1
105,2020-09-12,3,6
106,2020-09-13,5,0
107,2020-09-15,10,0
108,2020-09-16,11,0
109,2020-09-17,2,0
110,2020-09-18,2,1
111,2020-09-19,10,0
112,2020-09-23,1,0
113,2020-09-25,2,0
114,2020-09-26,4,0
115,2020-09-27,4,0
116,2020-09-28,3,0
117,2020-09-29,5,1
118,2020-09-30,3,1
119,2020-10-02,2,1
120,2020-10-04,4,0
121,2020-10-05,3,0
122,2020-10-06,1,0
123,2020-10-07,2,0
124,2020-10-08,7,1
125,2020-10-10,2,0
126,2020-10-11,6,3
127,2020-10-12,2,1
128,2020-10-13,13,1
129,2020-10-14,3,1
130,2020-10-15,2,5
131,2020-10-16,8,3
132,2020-10-17,7,3
133,2020-10-18,25,4
134,2020-10-19,5,0
135,2020-10-20,10,2
136,2020-10-21,9,1
137,2020-10-22,14,2
138,2020-10-23,2,3
139,2020-10-24,3,5
140,2020-10-25,12,3
141,2020-10-26,4,3
142,2020-10-27,8,0
143,2020-10-28,17,1
144,2020-10-29,25,2
145,2020-10-30,18,1
146,2020-10-31,16,1
147,2020-11-01,26,2
148,2020-11-02,3,1
149,2020-11-03,3,1
150,2020-11-04,1,0
151,2020-11-05,19,2
152,2020-11-06,8,0
153,2020-11-07,12,1
154,2020-11-08,23,0
155,2020-11-09,15,0
156,2020-11-10,9,4
157,2020-11-11,1,0
158,2020-11-12,9,1
159,2020-11-13,16,4
160,2020-11-14,27,1
161,2020-11-15,8,0
162,2020-11-16,11,1
163,2020-11-17,4,2
164,2020-11-18,6,2
165,2020-11-19,3,0
166,2020-11-20,2,1
167,2020-11-21,4,0
168,2020-11-22,5,0
169,2020-11-23,8,0
170,2020-11-24,4,0
171,2020-11-25,4,0
172,2020-11-26,4,0
173,2020-11-27,6,0
174,2020-11-28,1,2
175,2020-11-29,10,2
176,2020-12-01,3,0
177,2020-12-02,3,0
178,2020-12-03,5,1
179,2020-12-04,7,1
180,2020-12-05,0,2
181,2020-12-06,12,0
182,2020-12-07,6,0
183,2020-12-08,1,0
184,2020-12-09,15,1
185,2020-12-10,6,1
186,2020-12-11,7,0
187,2020-12-12,5,0
188,2020-12-14,4,0
189,2020-12-15,1,0
190,2020-12-16,7,0
191,2020-12-17,3,0
192,2020-12-19,26,1
193,2020-12-20,1,0
194,2020-12-21,3,1
195,2020-12-22,3,3
196,2020-12-23,11,0
197,2020-12-24,0,1
198,2020-12-25,3,0
199,2020-12-26,24,1
200,2020-12-27,17,2
201,2020-12-28,7,1
202,2020-12-29,6,1
203,2020-12-30,17,2
204,2020-12-31,8,1
205,2021-01-01,3,1
206,2021-01-02,11,5
207,2021-01-03,4,1
208,2021-01-04,6,1
209,2021-01-05,8,0
210,2021-01-06,12,1
211,2021-01-07,2,0
212,2021-01-08,11,3
213,2021-01-09,10,0
214,2021-01-10,15,2
215,2021-01-11,25,1
216,2021-01-12,15,6
217,2021-01-13,7,0
218,2021-01-14,8,2
219,2021-01-15,16,2
220,2021-01-16,4,4
221,2021-01-17,18,1
222,2021-01-18,17,3
223,2021-01-19,44,1
224,2021-01-20,7,5
225,2021-01-21,50,12
226,2021-01-22,10,2
227,2021-01-23,4,0
228,2021-01-24,14,0
229,2021-01-25,8,1
230,2021-01-26,1,0
231,2021-01-27,5,0
232,2021-01-28,13,3
233,2021-01-29,10,2
234,2021-01-30,7,1
235,2021-01-31,8,3
236,2021-02-01,11,4
237,2021-02-02,15,2
238,2021-02-03,3,2
239,2021-02-04,19,1
240,2021-02-05,14,2
241,2021-02-06,12,3
242,2021-02-07,4,1
243,2021-02-08,9,5
244,2021-02-09,7,2
245,2021-02-10,14,2
246,2021-02-11,15,3
247,2021-02-12,12,3
248,2021-02-13,8,1
249,2021-02-14,15,1
250,2021-02-15,28,2
251,2021-02-16,15,0
252,2021-02-17,22,0
253,2021-02-18,6,0
254,2021-02-19,2,0
255,2021-02-20,22,1
256,2021-02-21,5,0
257,2021-02-22,19,4
258,2021-02-23,14,2
259,2021-02-24,3,0
260,2021-02-25,9,0
261,2021-02-26,1,1
262,2021-02-27,3,2
263,2021-02-28,3,0
264,2021-03-01,6,0
265,2021-03-02,5,1
266,2021-03-03,6,2
267,2021-03-04,12,0
268,2021-03-05,9,1
269,2021-03-06,17,1
270,2021-03-07,6,2
271,2021-03-08,3,2
272,2021-03-09,8,0
273,2021-03-10,21,5
274,2021-03-11,3,2
275,2021-03-12,10,4
276,2021-03-13,42,5
277,2021-03-14,14,4
278,2021-03-15,7,3
279,2021-03-16,9,0
280,2021-03-17,14,0
281,2021-03-18,10,1
282,2021-03-19,8,5
