targeting type,targeting value,date
interests,celebrity fan and gossip,2023-08-06 00:00:00
interests,sci-fi and fantasy,2023-08-06 00:00:00
interests,comedy,2023-08-06 00:00:00
interests,movie news and general info,2023-08-06 00:00:00
interests,design,2023-08-06 00:00:00
interests,biographies and memoirs,2023-08-06 00:00:00
interests,screenwriting,2023-08-06 00:00:00
interests,"health, mind, and body",2023-08-06 00:00:00
interests,arts and crafts,2023-08-06 00:00:00
interests,entertaining at home,2023-08-06 00:00:00
keywords,credit,2023-08-06 00:00:00
keywords,money,2023-08-06 00:00:00
keywords,investing,2023-08-06 00:00:00
list,aiq_271882_0_1,2023-08-06 00:00:00
age,18 and up,2023-08-06 00:00:00
languages,english,2023-08-06 00:00:00
locations,turkey,2023-08-06 00:00:00
interests,dads,2023-08-06 00:00:00
keywords,mining,2023-08-06 00:00:00
interests,tech news,2023-08-06 00:00:00
interests,green solutions,2023-08-06 00:00:00
interests,technology,2023-08-06 00:00:00
locations,turkey,2023-08-06 00:00:00
interests,politics,2023-08-06 00:00:00
interests,commentary,2023-08-06 00:00:00
interests,health news and general info,2023-08-06 00:00:00
interests,animation,2023-08-06 00:00:00
locations,turkey,2023-08-06 00:00:00
follower look-alikes,@solana,2023-08-06 00:00:00
platforms,ios,2023-08-07 00:00:00
keywords,invest,2023-08-07 00:00:00
keywords,money,2023-08-07 00:00:00
locations,turkey,2023-08-07 00:00:00
age,18 and up,2023-08-07 00:00:00
locations,turkey,2023-08-07 00:00:00
keywords,airdrop,2023-08-07 00:00:00
keywords,airdropped,2023-08-07 00:00:00
unknown,unknown: 1,2023-08-07 00:00:00
age,18 to 54,2023-08-07 00:00:00
languages,english,2023-08-07 00:00:00
platforms,ios,2023-08-07 00:00:00
keywords,invest,2023-08-07 00:00:00
keywords,mine,2023-08-07 00:00:00
keywords,mining,2023-08-07 00:00:00
locations,turkey,2023-08-07 00:00:00
keywords,investing,2023-08-07 00:00:00
keywords,airdropped,2023-08-07 00:00:00
keywords,saving,2023-08-07 00:00:00
keywords,investing,2023-08-07 00:00:00
conversation topics,world news,2023-08-07 00:00:00
conversation topics,political news,2023-08-07 00:00:00
languages,arabic,2023-08-07 00:00:00
locations,turkey,2023-08-07 00:00:00
follower look-alikes,@solana,2023-08-07 00:00:00
languages,arabic,2023-08-07 00:00:00
languages,english,2023-08-07 00:00:00
age,18 and up,2023-08-07 00:00:00
locations,turkey,2023-08-07 00:00:00
list,aiq_271882_0_1,2023-08-07 00:00:00
conversation topics,business & finance,2023-08-07 00:00:00
conversation topics,business news,2023-08-07 00:00:00
conversation topics,tech news,2023-08-07 00:00:00
conversation topics,world news,2023-08-07 00:00:00
conversation topics,political news,2023-08-07 00:00:00
keywords,credit,2023-08-07 00:00:00
keywords,airdrop,2023-08-07 00:00:00
age,18 to 54,2023-08-07 00:00:00
unknown,unknown: 1,2023-08-07 00:00:00
interests,tech news,2023-08-07 00:00:00
interests,green solutions,2023-08-07 00:00:00
interests,technology,2023-08-07 00:00:00
locations,turkey,2023-08-07 00:00:00
follower look-alikes,@fifaworldcup,2023-08-07 00:00:00
languages,english,2023-08-07 00:00:00
languages,arabic,2023-08-07 00:00:00
locations,turkey,2023-08-07 00:00:00
age,18 and up,2023-08-07 00:00:00
locations,turkey,2023-08-07 00:00:00
interests,animation,2023-08-07 00:00:00
